id,filename,algorithm_sol,algorithm_sol_int,color_sol,partitions,variability,probability,min_degree,avg_degree,max_degree,std_degree,color,nodes,edges,cheat,edge_node_ratio,node_edge_ratio,density,greedy_color_sol,greedy_iss_min,greedy_iss_max,greedy_iss_mean,greedy_iss_median,greedy_iss_std,greedy_iss_q25,greedy_iss_q75,rlf_color_sol,rlf_time_sol,rlf_iss_min,rlf_iss_max,rlf_iss_mean,rlf_iss_median,rlf_iss_std,rlf_iss_q25,rlf_iss_q75,dsat_color_sol,dsat_time_sol,dsat_iss_min,dsat_iss_max,dsat_iss_mean,dsat_iss_median,dsat_iss_std,dsat_iss_q25,dsat_iss_q75,best_greedy_col,dsat_rlf_ratio,rlf_dsat_ratio,treewidth,vertex_cover,iss_min,iss_max,iss_mean,iss_median,iss_std,iss_q25,iss_q75
1002,../../graphs/col/G-1000-0.5-80-0.4.col,TABU,0,90,80,0.000000,0.5,431,493.458000,547,16.093671,80,1000,246729,1,246.729,0.00405302984245873,0.49395195195195196,120,2,11,8.264462809917354,9,1.636910682970222,8.0,9.0,106,0.737156,4,12,9.433962264150944,10.0,1.2800213385463042,9.0,10.0,114,0.031538,2,11,8.771929824561404,9.0,1.4081625994665006,8.0,10.0,106,1.0754716981132075,0.9298245614035088,978,1000,2,659,192.66666666666666,68.5,227.4408347973893,8.0,344.25
1003,../../graphs/col/U-1000-0.9-600-1.3.col,HEA,2,350,600,1.000000,0.9,571,888.908000,999,97.829104,378,1000,444454,1,444.454,0.00224995162604004,0.8897977977977978,358,1,35,2.785515320334262,2,2.5883735967130552,2.0,3.0,352,4.132777,1,35,2.840909090909091,2.0,2.5968921317314555,2.0,3.0,353,0.052053,1,33,2.8328611898016995,2,2.5108507761078784,2.0,3.0,352,1.0028409090909092,0.9971671388101983,910,1000,316,985,615.7931034482758,582,220.22867649499898,429.5,827.5
1004,../../graphs/col/U-1000-0.5-160-0.5.col,TABU,0,135,160,0.000000,0.5,202,492.804000,803,136.037640,159,1000,246402,1,246.402,0.0040584086168131755,0.4932972972972973,155,1,15,6.410256410256411,6.0,2.3578880513845157,5.0,8.0,149,0.880795,1,15,6.7114093959731544,6,2.416987464921321,5.0,8.0,145,0.033416,2,14,6.896551724137931,7,2.2227489797140665,5.0,8.0,145,0.9731543624161074,1.0275862068965518,595,998,21,978,516.5555555555555,659,401.15991546735796,73.0,933.0
1005,../../graphs/col/G-1000-0.5-80-1.5.col,TABU,0,72,80,1.000000,0.5,412,485.660000,544,22.392731,79,1000,242830,1,242.83,0.0041181073178767034,0.48614614614614615,111,2,24,8.928571428571429,9.0,2.2886885410853175,8.0,10.0,93,0.64094,6,45,10.75268817204301,10,4.851391360214849,9.0,10.5,106,0.030094,6,21,9.433962264150944,9.0,1.734901495348495,9.0,10.0,93,1.1397849462365592,0.8773584905660378,918,1000,138,958,503.9166666666667,492.0,255.02418652803445,303.0,715.0
1006,../../graphs/col/W-500-0.9-120-0.2.col,TABU,0,109,120,0.000000,0.9,419,445.612000,468,7.558932,119,500,111403,1,222.806,0.004488209473712557,0.8930100200400801,165,1,7,3.0120481927710845,3.0,0.7466121609480401,3.0,3.0,146,0.394126,1,9,3.4246575342465753,3.0,0.930966249533478,3.0,4.0,156,0.014777,2,9,3.2051282051282053,3.0,0.7928547743028493,3.0,3.75,146,1.0684931506849316,0.9358974358974359,493,500,131,482,301.5,297.5,131.38455008105026,193.25,410.75
1007,../../graphs/col/G-1000-0.5-20-0.4.col,HEA,2,20,20,0.000000,0.5,427,474.696000,532,15.841956,20,1000,237348,1,237.348,0.004213222778367629,0.4751711711711712,113,1,15,8.771929824561404,9.0,2.35005210907882,8.0,10.0,22,0.180236,10,62,45.45454545454545,49.5,13.92745583277958,40.75,54.5,103,0.037455,3,32,9.70873786407767,10,2.982402860575335,9.0,11.0,22,4.681818181818182,0.21359223300970873,976,1000,9,894,371.0689655172414,366,277.53750467722926,99.0,549.0
1008,../../graphs/col/G-1000-0.5-90-1.1.col,TABU,0,78,90,1.000000,0.5,414,488.422000,542,20.389113,87,1000,244211,1,244.211,0.004094819643668795,0.48891091091091093,112,2,24,8.849557522123893,9,2.0275831801593824,8.0,10.0,99,0.642106,1,78,10.1010101010101,9,7.248497310132561,9.0,10.0,107,0.031738,3,46,9.345794392523365,9,3.8659198025296515,8.0,10.0,99,1.0808080808080809,0.9252336448598131,900,998,100,929,428.4761904761905,351,280.27604589897066,156.0,722.5
1009,../../graphs/col/G-1000-0.5-50-1.3.col,ILS,1,69,50,1.000000,0.5,377,477.842000,542,30.302690,50,1000,238921,1,238.921,0.004185483904721644,0.47832032032032035,104,7,19,9.523809523809524,9,1.922014358463327,8.0,10.0,88,0.619806,7,53,11.363636363636363,10.0,6.429425562338443,9.0,11.0,101,0.032928,1,93,9.900990099009901,9,8.738998741841137,8.0,10.0,88,1.1477272727272727,0.8712871287128713,841,998,198,984,592.1,544.5,240.86908046499167,401.0,821.5
1010,../../graphs/col/G-1000-0.5-50-1.1.col,ILS,1,67,50,1.000000,0.5,391,481.052000,537,24.201018,50,1000,240526,1,240.526,0.004157554692631981,0.4815335335335335,103,3,59,9.615384615384615,9.0,5.1375406686934815,9.0,10.0,90,0.584457,7,48,11.11111111111111,10.0,5.7130728158103805,9.0,11.0,102,0.02932,6,41,9.803921568627452,9.0,4.371462848902204,8.0,10.0,90,1.1333333333333333,0.8823529411764706,866,1000,63,995,507.44554455445547,516,287.5807877883196,256.5,749.0
1011,../../graphs/col/G-1000-0.5-20-1.5.col,ILS,1,29,20,1.000000,0.5,343,452.488000,525,44.567722,20,1000,226244,1,226.244,0.004420006718410212,0.45294094094094095,90,7,67,10.989010989010989,10,6.849970811769939,9.0,11.0,34,0.255295,9,120,29.41176470588235,16.5,28.419069192377517,10.75,41.25,83,0.02731,3,83,12.048192771084338,10,9.179648240321885,9.0,11.0,34,2.4411764705882355,0.40963855421686746,758,1000,127,986,568.8047337278107,583,240.84699940068919,377.5,785.0
1012,../../graphs/col/G-1000-0.5--.2.col,TABU,0,90,,,0.5,445,498.550000,564,15.622660,,1000,249275,0,249.275,0.004011633737839735,0.49904904904904906,122,2,11,8.130081300813009,8,1.6394688743789283,8.0,9.0,107,0.789454,4,11,9.345794392523365,10,1.213934844373187,9.0,10.0,115,0.038472,4,12,8.695652173913043,9,1.3965742110888937,8.0,10.0,107,1.074766355140187,0.9304347826086956,979,998,13,926,409.09090909090907,310,329.879206542472,177.0,785.0
1013,../../graphs/col/U-500-0.9-100-0.3.col,ILS,1,99,100,0.000000,0.9,291,443.700000,498,46.717213,100,500,110925,1,221.85,0.00450755014649538,0.8891783567134268,100,1,11,4.9504950495049505,4,2.351068853197466,3.0,6.5,99,0.330847,2,11,5.05050505050505,5,2.2829167584462295,3.0,7.0,99,0.012154,1,11,5.05050505050505,5,2.3051572055547904,3.0,7.0,99,1.0,1.0,430,500,43,469,182.33333333333334,129,154.66172765102553,61.0,317.5
1014,../../graphs/col/G-1000-0.1-5-0.5.col,TABU,0,5,5,0.000000,0.1,48,80.512000,108,8.574839,5,1000,40256,1,40.256,0.024841017488076312,0.08059259259259259,24,2,52,40,46,13.397761006974262,35.5,48.0,5,0.009553,184,221,200,195,14.577379737113251,188.0,214.5,22,0.009584,2,63,45.45454545454545,50.0,13.124775817504094,39.25,52.25,5,4.4,0.22727272727272727,875,988,13,985,310.67605633802816,193,293.2057675640041,55.0,541.0
1015,../../graphs/col/G-500-0.5-50-1.1.col,TABU,0,39,50,1.000000,0.5,185,237.596000,281,16.185326,48,500,59399,1,118.798,0.008417650128790047,0.4761442885771543,61,2,13,8.064516129032258,8.0,1.7165631669976398,7.0,9.0,53,0.102217,7,19,9.433962264150944,9,2.2490120391840445,8.0,10.0,58,0.008176,5,24,8.620689655172415,8.0,2.2851740784156984,8.0,9.0,53,1.0943396226415094,0.9137931034482759,424,500,107,491,317.3421052631579,330.0,112.16476209089706,232.25,399.5
